0,state,firespots
1999,ACRE,347
1999,AMAPA,101
1999,AMAZONAS,1048
1999,MARANHAO,4136
1999,MATO GROSSO,28538
1999,PARA,20478
1999,RONDONIA,7121
1999,RORAIMA,220
1999,TOCANTINS,869
2000,ACRE,430
2000,AMAPA,253
2000,AMAZONAS,857
2000,MARANHAO,4500
2000,MATO GROSSO,17242
2000,PARA,18201
2000,RONDONIA,5505
2000,RORAIMA,362
2000,TOCANTINS,818
2001,ACRE,829
2001,AMAPA,1300
2001,AMAZONAS,1297
2001,MARANHAO,7979
2001,MATO GROSSO,20795
2001,PARA,28590
2001,RONDONIA,5062
2001,RORAIMA,2415
2001,TOCANTINS,1408
2002,ACRE,7985
2002,AMAPA,3730
2002,AMAZONAS,10203
2002,MARANHAO,20848
2002,MATO GROSSO,79680
2002,PARA,106849
2002,RONDONIA,39132
2002,RORAIMA,2845
2002,TOCANTINS,2601
2003,ACRE,10523
2003,AMAPA,2516
2003,AMAZONAS,10191
2003,MARANHAO,12036
2003,MATO GROSSO,50713
2003,PARA,53040
2003,RONDONIA,30533
2003,RORAIMA,3987
2003,TOCANTINS,861
2004,ACRE,7271
2004,AMAPA,3413
2004,AMAZONAS,8083
2004,MARANHAO,11443
2004,MATO GROSSO,70422
2004,PARA,74214
2004,RONDONIA,40824
2004,RORAIMA,2221
2004,TOCANTINS,746
2005,ACRE,15993
2005,AMAPA,2020
2005,AMAZONAS,15644
2005,MARANHAO,10820
2005,MATO GROSSO,53489
2005,PARA,71477
2005,RONDONIA,41641
2005,RORAIMA,1461
2005,TOCANTINS,1175
2006,ACRE,6198
2006,AMAPA,1665
2006,AMAZONAS,11697
2006,MARANHAO,7885
2006,MATO GROSSO,32745
2006,PARA,55840
2006,RONDONIA,25699
2006,RORAIMA,2189
2006,TOCANTINS,504
2007,ACRE,8549
2007,AMAPA,1484
2007,AMAZONAS,11293
2007,MARANHAO,12329
2007,MATO GROSSO,52399
2007,PARA,68491
2007,RONDONIA,27477
2007,RORAIMA,3244
2007,TOCANTINS,1214
2008,ACRE,5699
2008,AMAPA,2153
2008,AMAZONAS,6701
2008,MARANHAO,7822
2008,MATO GROSSO,18602
2008,PARA,48449
2008,RONDONIA,11549
2008,RORAIMA,1950
2008,TOCANTINS,528
2009,ACRE,3511
2009,AMAPA,2456
2009,AMAZONAS,9280
2009,MARANHAO,6664
2009,MATO GROSSO,9970
2009,PARA,41664
2009,RONDONIA,5396
2009,RORAIMA,2359
2009,TOCANTINS,382
2010,ACRE,8661
2010,AMAPA,1000
2010,AMAZONAS,12139
2010,MARANHAO,7298
2010,MATO GROSSO,28362
2010,PARA,57196
2010,RONDONIA,16924
2010,RORAIMA,1918
2010,TOCANTINS,1116
2011,ACRE,3191
2011,AMAPA,1396
2011,AMAZONAS,5028
2011,MARANHAO,4976
2011,MATO GROSSO,9103
2011,PARA,26563
2011,RONDONIA,6078
2011,RORAIMA,1475
2011,TOCANTINS,376
2012,ACRE,4720
2012,AMAPA,2518
2012,AMAZONAS,9114
2012,MARANHAO,6919
2012,MATO GROSSO,16133
2012,PARA,37221
2012,RONDONIA,8312
2012,RORAIMA,1376
2012,TOCANTINS,406
2013,ACRE,4980
2013,AMAPA,1529
2013,AMAZONAS,6512
2013,MARANHAO,4418
2013,MATO GROSSO,10830
2013,PARA,24046
2013,RONDONIA,4613
2013,RORAIMA,1395
2013,TOCANTINS,365
2014,ACRE,4398
2014,AMAPA,1848
2014,AMAZONAS,9008
2014,MARANHAO,5733
2014,MATO GROSSO,15677
2014,PARA,35526
2014,RONDONIA,7327
2014,RORAIMA,2519
2014,TOCANTINS,518
2015,ACRE,5779
2015,AMAPA,2936
2015,AMAZONAS,13419
2015,MARANHAO,7475
2015,MATO GROSSO,17599
2015,PARA,43164
2015,RONDONIA,13105
2015,RORAIMA,2452
2015,TOCANTINS,509
2016,ACRE,7684
2016,AMAPA,2595
2016,AMAZONAS,11173
2016,MARANHAO,4928
2016,MATO GROSSO,15836
2016,PARA,29724
2016,RONDONIA,11462
2016,RORAIMA,3870
2016,TOCANTINS,489
2017,ACRE,6295
2017,AMAPA,1946
2017,AMAZONAS,11685
2017,MARANHAO,5896
2017,MATO GROSSO,18143
2017,PARA,49770
2017,RONDONIA,11298
2017,RORAIMA,1565
2017,TOCANTINS,841
2018,ACRE,6626
2018,AMAPA,1206
2018,AMAZONAS,11446
2018,MARANHAO,2449
2018,MATO GROSSO,11621
2018,PARA,22080
2018,RONDONIA,10253
2018,RORAIMA,2383
2018,TOCANTINS,281
2019,ACRE,6802
2019,AMAPA,1272
2019,AMAZONAS,12665
2019,MARANHAO,3989
2019,MATO GROSSO,17479
2019,PARA,29700
2019,RONDONIA,11206
2019,RORAIMA,4775
2019,TOCANTINS,247
